No;wage;union;nonwhite;married;education;experience;weights;age;education_in_years;experience_in_years
113842;6.738427992;no;no;yes;High School;25-29;5498.22998;43;12;25
108780;11.20370477;no;no;yes;Post-graduate;Okt-14;9528.980469;34;18;10
117066;5.054302465;no;no;no;Elementary;>=40;1480.400024;57;7;44
223444;3.383038261;no;no;no;High School;0-4;13300.74023;19;12;1
163678;11.00375953;yes;no;no;HS dropout;>=40;8639.339844;61;11;44
25559;22.34129432;yes;no;no;High School;20-24;6330.350098;42;12;24
145287;5.908203423;yes;no;yes;High School;15-19;9125.820313;33;12;15
82949;9.652421482;yes;no;yes;Some College;25-29;1920.26001;46;13;27
165796;5.343474097;yes;no;no;Elementary;25-29;8275.780273;42;7;29
234734;8.755102965;yes;no;no;Some College;15-19;8614.459961;35;13;16
217085;5.677093235;no;no;yes;High School;Okt-14;1296.810059;29;12;11
148441;4.309116682;no;no;no;College;05-Sep;10696.07031;29;16;7
102537;2.32376331;no;no;no;HS dropout;0-4;7171.569824;16;10;0
171704;3.102563953;no;no;yes;Elementary;25-29;7267.629883;31;0;25
227183;2.739622479;no;no;no;HS dropout;05-Sep;10825.98047;22;10;6
37544;7.415730286;yes;no;yes;High School;35-39;2734.780029;54;12;36
230361;11.26528093;yes;no;yes;Some College;30-34;11343.80957;50;13;31
242540;8.402778714;no;no;yes;College;15-19;6543.740234;41;16;19
125755;8.751204609;no;no;yes;Some College;30-34;1929.459961;50;13;31
259595;6.193365135;yes;yes;no;Elementary;30-34;6386.810059;48;8;34
44983;2.883813362;no;no;yes;HS dropout;>=40;6905.609863;61;10;45
125547;8.336841147;yes;no;yes;High School;25-29;1116.329956;46;12;28
249261;5.055357587;no;no;yes;HS dropout;>=40;1398.959961;56;9;41
63528;4.639570674;no;no;yes;High School;05-Sep;1587.790039;24;12;6
14536;7.472237364;yes;no;no;High School;05-Sep;7520.149902;26;12;8
83069;6.388380181;yes;no;yes;HS dropout;30-34;2206.110107;48;11;31
122429;8.751204609;yes;no;yes;Post-graduate;20-24;1068.609985;48;18;24
254410;3.440758375;no;no;yes;College;20-24;1460.619995;42;16;20
88299;16.34412949;yes;no;yes;High School;Okt-14;2782.840088;31;12;13
32953;5.107537535;no;no;no;HS dropout;05-Sep;9390.820313;22;9;7
262557;2.256122491;no;no;no;Some College;0-4;7303.02002;20;13;1
141834;9.680000663;yes;no;no;High School;15-19;6503.049805;36;12;18
173593;9.18876532;yes;yes;no;College;05-Sep;2452.560059;30;16;8
205594;5.505213266;no;no;yes;Elementary;20-24;6836.180176;34;8;20
6601;3.707865136;no;no;yes;High School;35-39;6737.419922;55;12;37
57701;7.267267184;yes;no;no;College;Okt-14;7234.509766;35;16;13
183425;3.155077821;no;no;no;High School;Okt-14;5848.149902;30;12;12
66154;3.604766798;no;no;yes;High School;05-Sep;4951.720215;23;12;5
47802;2.598159443;no;no;no;Elementary;25-29;7763.359863;41;6;29
31517;7.993994153;yes;no;yes;High School;35-39;5108.689941;57;12;39
66075;2.373033704;no;no;no;Elementary;05-Sep;10661.24023;19;6;7
227061;7.198877519;no;no;no;Some College;Okt-14;4389.390137;34;14;14
69161;9.419161904;no;no;yes;Post-graduate;15-19;3204.280029;38;17;15
249222;4.300948082;no;no;no;Some College;0-4;950.1099854;22;13;3
81118;25.33462437;no;no;yes;Post-graduate;15-19;566.3599854;40;18;16
19392;9.011917248;yes;no;yes;Some College;Okt-14;6984.759766;33;13;14
198819;4.821889644;no;no;yes;High School;05-Sep;6669.52002;25;12;7
2286;6.674157309;no;no;yes;High School;15-19;1789.530029;34;12;16
59970;10.31952058;yes;no;yes;Some College;15-19;7768.959961;36;13;17
215370;4.659359923;no;no;yes;High School;25-29;1088.890015;47;12;29
54661;9.056885569;yes;no;yes;Some College;20-24;4358.029785;41;14;21
64085;18.27858231;no;no;yes;College;20-24;1488.849976;43;16;21
80287;1.816816789;no;no;yes;Post-graduate;15-19;1031.890015;38;17;15
207295;23.59228298;no;no;yes;High School;35-39;5203.450195;57;12;39
78173;9.269663101;yes;no;yes;High School;20-24;7307.629883;42;12;24
20193;4.601926738;no;no;yes;Some College;Okt-14;6703.939941;32;15;11
116913;13.29345659;no;no;yes;Some College;35-39;5071.339844;57;14;37
66701;2.427245501;no;no;no;High School;0-4;2687.840088;22;12;4
95362;5.660818818;yes;no;yes;High School;30-34;9040.269531;50;12;32
210297;5.228532145;yes;no;yes;Elementary;>=40;8366.570313;57;8;43
115946;13.78917307;no;no;yes;College;25-29;8543.830078;51;16;29
216027;8.335555232;yes;no;no;High School;05-Sep;1511.150024;26;12;8
182563;6.072490839;no;no;no;High School;20-24;5691.740234;38;12;20
137695;2.068376055;no;yes;no;Some College;25-29;9679.30957;45;13;26
168841;2.83593754;no;no;yes;Elementary;Okt-14;7363.580078;26;8;12
251106;5.645928913;yes;no;no;High School;20-24;3288.850098;40;12;22
209193;7.144546678;yes;no;yes;High School;30-34;5940.370117;48;12;30
217693;4.776315547;no;no;no;Some College;05-Sep;2466.879883;27;13;8
263979;10.65687999;no;no;yes;College;35-39;10211.54004;60;16;38
41043;9.538288928;no;no;yes;High School;35-39;5666.589844;57;12;39
222050;7.591828182;no;no;no;Some College;0-4;7968.259766;22;15;1
97455;2.778947325;no;no;no;Some College;0-4;5250.779785;21;15;0
169337;9.654255805;yes;no;no;College;05-Sep;8495.219727;31;16;9
76384;2.4883064;no;no;no;Post-graduate;Okt-14;7407.939941;35;17;12
46438;4.601926738;no;no;no;Some College;0-4;7316.200195;21;14;1
75176;13.80578213;no;no;yes;Some College;35-39;8084.140137;58;14;38
109664;6.195853728;no;no;yes;High School;30-34;8012.490234;52;12;34
88461;6.337536604;yes;no;yes;Post-graduate;15-19;2300.47998;41;17;18
200422;8.457594882;no;no;yes;High School;20-24;8208.839844;42;12;24
254941;14.49988807;yes;no;no;Some College;Okt-14;2722.659912;31;14;11
245598;2.225160142;no;no;no;High School;Okt-14;10179.13965;28;12;10
8176;3.60299635;no;no;no;Post-graduate;0-4;7116.470215;28;18;4
76369;10.59390004;yes;no;no;Post-graduate;15-19;7144.399902;39;18;15
118647;2.984042381;no;no;no;High School;05-Sep;6966.810059;25;12;7
184945;3.841269928;yes;no;yes;Elementary;35-39;9718.360352;47;3;38
246146;15.8311774;no;no;yes;College;20-24;9492.230469;42;16;20
160205;7.061871673;no;no;yes;High School;15-19;4268.77002;35;12;17
262175;3.440758375;no;no;yes;Some College;Okt-14;7126.600098;32;15;11
110608;2.431578912;no;no;no;HS dropout;0-4;5724.72998;16;10;0
109985;9.552631111;yes;no;yes;High School;20-24;8919.179688;40;12;22
4620;5.615269685;no;no;yes;High School;15-19;5923.080078;34;12;16
130610;2.316285735;no;yes;no;High School;Okt-14;6140.939941;28;12;10
199855;6.409851651;yes;no;yes;High School;15-19;7056.330078;34;12;16
182645;12.2357572;no;no;yes;College;0-4;6915.419922;26;16;4
164099;8.802134336;yes;no;yes;College;15-19;7462.640137;40;16;18
207864;6.660550158;yes;no;no;High School;15-19;6005.490234;34;12;16
247085;3.411654245;no;no;yes;Elementary;35-39;1595.030029;53;8;39
118954;8.802134336;no;no;yes;High School;25-29;4256.649902;43;12;25
44500;3.464212742;no;no;yes;High School;Okt-14;7199.319824;30;12;12
132745;4.75508793;no;no;yes;Some College;05-Sep;8795.089844;28;13;9
241672;5.659494971;no;no;yes;Some College;Okt-14;6513.819824;29;13;10
119045;4.309116682;no;no;yes;High School;Okt-14;5591.220215;28;12;10
83529;8.273503758;no;no;yes;High School;15-19;1758.26001;35;12;17
137079;10.34187997;no;no;yes;High School;>=40;7564.930176;58;12;40
259795;5.97039459;yes;no;yes;College;Okt-14;9494.75;36;16;14
187064;31.66235486;no;no;no;Post-graduate;35-39;6686.890137;59;18;35
254808;6.766076535;no;no;no;High School;Okt-14;3228.149902;29;12;11
235075;2.859481245;no;no;no;Some College;0-4;9723.049805;21;14;1
123545;7.481813822;no;no;yes;High School;>=40;3796.290039;63;12;45
224361;5.479244968;no;no;no;HS dropout;0-4;6799.939941;20;10;4
46468;1.280521472;no;no;no;College;30-34;7083.660156;53;16;31
53272;3.633633585;no;no;no;HS dropout;20-24;5265.600098;40;10;24
206527;6.451824475;yes;no;no;High School;Okt-14;8364.55957;28;12;10
138952;8.19332765;no;no;yes;Post-graduate;Okt-14;8126.810059;34;18;10
198704;6.73469376;no;no;no;College;0-4;6595.810059;24;16;2
241598;7.970722543;no;no;yes;Some College;35-39;6336.060059;57;14;37
183595;6.991862488;yes;no;no;College;0-4;6267.100098;26;16;4
184990;6.642268841;no;no;yes;Post-graduate;15-19;6207.870117;39;18;15
130617;3.206084425;yes;no;no;HS dropout;20-24;8176.27002;38;11;21
246079;6.823308503;no;no;yes;College;05-Sep;7558.080078;30;16;8
90232;13.52936423;no;no;no;Some College;Okt-14;6739.490234;32;14;12
178890;7.346826251;no;no;no;High School;0-4;3890.22998;18;12;0
136668;3.19042984;no;no;yes;HS dropout;20-24;8554.709961;39;11;22
60101;2.436722669;no;no;no;Some College;0-4;9355.049805;19;13;0
168239;6.792982524;yes;no;no;High School;05-Sep;9043.620117;23;12;5
252802;6.397959331;yes;no;no;High School;0-4;10423.57031;20;12;2
112243;8.71757947;yes;no;yes;High School;Okt-14;7393.379883;30;12;12
135985;5.34330466;no;no;yes;Some College;25-29;13973.59961;45;13;26
230773;8.218867599;no;no;yes;High School;20-24;1806.589966;42;12;24
104024;12.5795958;no;no;yes;College;20-24;8612.209961;42;16;20
209846;9.44609713;yes;no;yes;High School;15-19;8153.109863;36;12;18
189174;8.905243518;no;no;yes;Some College;05-Sep;4887.350098;28;14;8
36086;4.574092836;yes;no;yes;College;05-Sep;3310.860107;27;16;5
82171;7.363083479;yes;no;no;Some College;Okt-14;2280.780029;30;14;10
9182;4.528443316;no;no;no;High School;0-4;7632.290039;20;12;2
103746;5.601851708;yes;no;yes;Post-graduate;25-29;5821.560059;53;18;29
88852;5.210526465;no;no;yes;High School;35-39;2182.199951;57;12;39
155743;11.36738154;no;no;yes;College;Okt-14;5225.259766;33;16;11
165206;3.457142962;yes;no;yes;College;05-Sep;5252.120117;31;16;9
25196;7.623369997;no;yes;yes;High School;25-29;8172.240234;45;12;27
1498;10.52807387;no;no;yes;Some College;15-19;1607.449951;39;14;19
188409;8.312872712;no;no;yes;College;Okt-14;6304.72998;36;16;14
60587;2.486809762;no;yes;no;High School;0-4;10295.86035;19;12;1
261421;5.479244968;yes;yes;yes;Some College;20-24;9968.160156;42;14;22
235757;2.337626537;no;no;yes;Post-graduate;35-39;9598.620117;63;18;39
165671;4.595387778;no;no;no;Some College;0-4;8548.089844;25;15;4
4518;2.408019784;no;no;no;HS dropout;0-4;6971.299805;16;10;0
212954;4.776315547;yes;no;no;High School;Okt-14;3482.51001;28;12;10
4695;12.4769669;no;no;yes;Post-graduate;05-Sep;7757.399902;33;18;9
123757;9.661331687;yes;no;no;High School;05-Sep;3896.080078;23;12;5
74984;9.203854591;no;no;yes;College;30-34;8101.089844;53;16;31
108360;8.802134336;no;no;yes;High School;>=40;7689.580078;59;12;41
16436;23.07229474;no;no;yes;College;30-34;7770.560059;56;16;34
26691;11.86516817;no;no;yes;Some College;20-24;7429.140137;44;14;24
53705;5.434131934;no;no;yes;High School;0-4;5552.859863;21;12;3
197838;2.145152391;no;no;yes;High School;15-19;7184.700195;33;12;15
256592;13.44444561;no;no;yes;College;35-39;7257.160156;60;16;38
26715;2.89820357;no;no;no;Some College;0-4;8647.080078;21;15;0
82526;2.363281303;no;no;no;HS dropout;Okt-14;1366.880005;29;9;14
199688;10.38032488;no;no;yes;Post-graduate;15-19;6854.160156;42;18;18
43755;3.225074002;no;no;no;High School;0-4;7944.810059;19;12;1
74659;7.799108541;yes;no;yes;High School;05-Sep;8009.97998;24;12;6
233418;2.564928931;no;no;no;Some College;05-Sep;6856.850098;27;14;7
20400;2.400888497;no;no;no;Some College;0-4;7028.040039;23;14;3
136044;4.481481248;no;no;yes;Elementary;>=40;7216.189941;59;7;46
37492;6.88323313;no;no;no;Post-graduate;Okt-14;3062.409912;35;18;11
137445;8.61823338;no;yes;yes;High School;Okt-14;11722.92969;28;12;10
113793;2.489142886;no;yes;no;High School;05-Sep;4558.589844;23;12;5
204468;4.048327153;no;no;yes;Elementary;25-29;9817.360352;43;8;29
131674;4.987242582;yes;no;yes;High School;Okt-14;3985.709961;32;12;14
74059;8.175675859;no;no;no;Some College;05-Sep;7594.149902;28;14;8
243475;2.693877589;no;no;no;HS dropout;0-4;9415.839844;17;10;1
159649;4.740028499;no;no;no;High School;0-4;2028.890015;21;12;3
2777;7.245509129;no;no;yes;Some College;20-24;1480.300049;40;13;21
17749;5.005618062;no;no;yes;HS dropout;>=40;7559.069824;57;10;41
76662;9.640450558;yes;yes;yes;High School;25-29;7314.419922;43;12;25
100100;5.877142761;yes;no;yes;High School;Okt-14;7143.779785;28;12;10
109679;3.926397709;yes;no;yes;Elementary;>=40;8037.169922;56;8;42
19512;13.35634966;no;no;yes;High School;Okt-14;6509.200195;31;12;13
80143;15.72401155;yes;no;yes;High School;15-19;762.0200195;35;12;17
232425;8.096654322;no;no;no;High School;Okt-14;7581.459961;32;12;14
221571;3.440758375;no;no;yes;High School;Okt-14;7294.069824;29;12;11
255811;5.093545513;no;no;yes;HS dropout;05-Sep;9259.120117;24;10;8
135754;1.508771947;no;no;yes;College;Okt-14;8477.740234;33;16;11
34827;3.433208461;no;no;yes;High School;05-Sep;1028.180054;26;12;8
86479;10.34187997;no;no;yes;Post-graduate;05-Sep;4126.049805;32;18;8
133820;5.687234089;no;no;no;Some College;0-4;12813.23047;22;15;1
182514;4.162218226;no;yes;no;High School;Okt-14;8974.959961;28;12;10
78912;19.76008112;no;no;no;College;Okt-14;7112.200195;34;16;12
75936;12.80746043;no;no;yes;Some College;20-24;7806.569824;43;14;23
228736;5.22937303;no;no;yes;Post-graduate;05-Sep;9133.530273;32;18;8
27365;5.122984028;no;no;yes;Some College;Okt-14;6607.290039;33;15;12
76141;5.134370476;no;no;yes;High School;Okt-14;8054.919922;30;12;12
87938;9.262021655;no;no;yes;Some College;35-39;6846.319824;55;13;36
133954;5.860398958;no;no;yes;Elementary;>=40;6834.560059;60;7;47
135087;9.262021655;yes;yes;yes;Some College;35-39;6540.240234;56;15;35
158985;3.964387646;no;no;no;Some College;0-4;2084.879883;23;13;4
83192;7.605714769;no;no;yes;High School;35-39;2204.860107;53;12;35
42155;2.966292031;no;no;no;Some College;0-4;6011.259766;21;14;1
224071;2.636886721;no;no;no;HS dropout;0-4;5817.930176;17;10;1
237707;10.23496172;no;no;yes;High School;30-34;11156.87988;49;12;31
141116;6.947368509;no;no;yes;High School;30-34;11578.12988;50;12;32
93926;2.800385656;no;no;no;Some College;0-4;9562.929688;22;14;2
26226;8.528089679;yes;no;yes;High School;25-29;8607.669922;45;12;27
185443;14.43171348;no;no;no;Some College;Okt-14;6923.649902;33;14;13
91194;5.627907285;no;no;no;High School;05-Sep;6750.669922;26;12;8
121467;4.826210732;no;no;yes;Elementary;>=40;1447.060059;60;8;46
19360;3.707865136;no;no;no;High School;0-4;6637.339844;20;12;2
116241;3.964387646;no;no;yes;Some College;0-4;9949.790039;24;14;4
214908;2.960244761;no;no;no;Elementary;>=40;8379.009766;57;8;43
183025;11.6559635;no;no;no;Some College;05-Sep;6459.370117;29;14;9
95387;8.273503758;no;no;yes;High School;25-29;9509.849609;45;12;27
36385;2.54422501;no;no;no;Some College;05-Sep;3279.629883;27;14;7
101138;7.815788906;no;no;yes;High School;15-19;8042.339844;36;12;18
205147;3.339466366;no;yes;no;Post-graduate;05-Sep;7402.939941;31;18;7
101450;8.082938928;yes;no;yes;High School;Okt-14;7440.700195;31;12;13
29343;9.120603755;yes;no;yes;HS dropout;>=40;5663.990234;59;9;44
178231;5.458646659;yes;no;yes;High School;30-34;3713.22998;50;12;32
70508;3.971472449;no;yes;no;High School;0-4;3219.070068;18;12;0
197468;4.554368202;no;no;no;Elementary;>=40;6658.450195;61;5;50
231959;10.24059526;no;no;no;College;30-34;7057;52;16;30
83653;5.927953596;yes;no;yes;High School;Okt-14;2826.620117;31;12;13
81490;5.932584073;no;yes;no;Post-graduate;05-Sep;1724.819946;30;17;7
243518;4.234779419;yes;no;no;College;0-4;8151.160156;26;16;4
155315;14.38400683;no;no;yes;College;Okt-14;11845.25;35;16;13
74441;2.434534595;no;yes;no;HS dropout;0-4;7727.97998;18;10;2
167901;7.073846054;no;no;yes;High School;35-39;7647.660156;56;12;38
41218;6.626775182;yes;yes;yes;High School;Okt-14;13648.26953;28;12;10
198571;7.139037476;no;no;yes;Some College;15-19;7050.52002;37;14;17
214427;5.158420787;no;no;yes;High School;05-Sep;7360.060059;23;12;5
106467;5.67187509;no;no;yes;High School;05-Sep;10218.66016;23;12;5
47695;10.12939516;yes;no;yes;High School;15-19;8407.519531;33;12;15
48775;2.918593043;no;no;no;HS dropout;0-4;8158.310059;16;9;1
61449;10.94472441;no;no;yes;College;05-Sep;25530.85938;27;16;5
174361;3.854570607;no;no;yes;Elementary;25-29;2970.679932;42;8;28
119691;12.35087843;no;no;yes;High School;20-24;5339.410156;38;12;20
222248;14.49138969;no;no;yes;Post-graduate;20-24;1734.849976;48;18;24
212619;2.285808295;no;no;no;High School;0-4;6327.160156;20;12;2
258066;3.440758375;no;no;no;Some College;0-4;10364.58008;23;15;2
143708;3.457142962;no;no;yes;High School;30-34;8255.099609;48;12;30
26566;4.347305433;no;no;no;High School;0-4;8168.660156;21;12;3
62506;10.86826259;no;no;no;Post-graduate;Okt-14;3199.97998;35;17;12
92120;5.170939975;yes;no;yes;Some College;30-34;6465.919922;50;13;31
237792;4.662385271;yes;yes;yes;Post-graduate;Okt-14;10286.62988;37;17;14
55992;2.415193702;no;no;yes;High School;25-29;5436.790039;47;12;29
144835;2.658691397;no;no;no;College;15-19;3604.810059;39;16;17
15828;10.97782274;yes;no;yes;HS dropout;35-39;7359.740234;55;10;39
135822;3.835734979;no;no;yes;High School;25-29;14042.21973;47;12;29
41609;6.17780865;yes;no;yes;Some College;05-Sep;7225.310059;27;14;7
144869;2.336311182;no;yes;no;HS dropout;15-19;6075.069824;33;10;17
8848;7.906931067;yes;no;yes;High School;35-39;8423.070313;53;12;35
248282;6.766076535;yes;no;no;High School;35-39;3367.159912;54;12;36
170019;24.29214682;no;no;yes;College;35-39;7108.560059;57;16;35
7196;4.634831542;yes;no;yes;Elementary;>=40;5242.839844;64;8;50
156317;7.671469973;no;no;yes;College;0-4;6816.77002;23;16;1
64797;4.650148753;no;no;yes;High School;05-Sep;5855.529785;26;12;8
206941;9.806161961;yes;no;no;Post-graduate;Okt-14;5811.399902;38;18;14
196535;4.995412698;yes;no;yes;College;30-34;6254.350098;52;16;30
229893;5.074557482;no;no;yes;Elementary;Okt-14;8718.19043;24;7;11
258632;8.325687916;no;yes;no;College;15-19;5635.359863;37;16;15
133719;4.563829763;no;no;no;High School;0-4;6479.220215;20;12;2
165868;9.12817423;no;no;yes;High School;15-19;7294.970215;34;12;16
38582;3.842238083;no;no;no;High School;05-Sep;2194.370117;25;12;7
199434;5.00919964;no;no;no;High School;0-4;6782.839844;22;12;4
217001;7.992660123;no;no;yes;High School;05-Sep;1273.319946;27;12;9
21086;10.39263719;no;no;yes;High School;15-19;6266.339844;34;12;16
94388;7.660651633;no;no;yes;Post-graduate;Okt-14;7573.649902;36;18;12
133833;4.212765884;no;no;yes;High School;Okt-14;16843.68945;29;12;11
178723;5.041666576;no;no;yes;High School;0-4;4426.439941;22;12;4
99007;6.276657102;no;no;no;High School;05-Sep;9441.849609;24;12;6
147101;7.021276545;no;yes;yes;Post-graduate;20-24;7340.830078;46;18;22
75133;6.10990079;no;no;no;High School;>=40;6912.810059;62;12;44
266441;3.010663402;no;no;yes;HS dropout;>=40;1859.420044;58;10;42
63754;5.335506181;no;no;yes;Post-graduate;30-34;1538.670044;55;17;32
47529;2.156435652;no;yes;no;HS dropout;25-29;9065.009766;41;10;25
232952;4.962110124;no;no;yes;HS dropout;35-39;6972.209961;54;10;38
115088;4.167909769;no;no;yes;High School;0-4;6622.759766;21;12;3
83618;9.44649126;no;no;yes;High School;>=40;1642.609985;61;12;43
230357;5.286734876;no;yes;yes;High School;15-19;9099.780273;36;12;18
186654;2.231284383;no;no;no;High School;0-4;6936.359863;18;12;0
19879;7.166831074;yes;no;yes;High School;Okt-14;6230.540039;32;12;14
168366;24.55057635;no;no;yes;Post-graduate;30-34;8670.179688;54;18;30
162931;8.420019422;yes;no;no;College;Okt-14;6755.910156;34;16;12
101916;15.00645374;no;no;yes;College;Okt-14;9248.099609;35;16;13
205554;4.705555557;no;no;yes;High School;05-Sep;6741.029785;23;12;5
137601;10.48044257;no;no;yes;High School;35-39;7140.299805;54;12;36
220593;4.662385271;no;no;yes;High School;05-Sep;9024.05957;25;12;7
15524;12.99079683;no;no;yes;College;25-29;8062.160156;48;16;26
138125;2.340425468;no;yes;yes;HS dropout;30-34;8536.75;47;9;32
82255;10.17417443;yes;no;no;High School;Okt-14;2346.080078;28;12;10
264366;14.19273179;no;no;yes;Post-graduate;05-Sep;7281.310059;32;18;8
88940;5.515669731;yes;no;yes;High School;Okt-14;2474.050049;29;12;11
90727;4.631010819;yes;no;no;Some College;25-29;7029.669922;44;13;25
97700;2.431578912;no;no;no;HS dropout;0-4;7649.970215;16;10;0
238648;3.584123432;no;no;yes;HS dropout;05-Sep;3489.100098;25;10;9
20995;8.780225063;no;yes;no;Some College;0-4;16909.01953;23;15;2
40459;12.99079683;yes;yes;no;Post-graduate;15-19;1854.51001;39;18;15
142238;5.210526465;yes;yes;yes;High School;05-Sep;10802.71973;25;12;7
166118;10.46109528;yes;no;yes;High School;15-19;7534.529785;34;12;16
132699;2.83593754;no;yes;yes;Elementary;>=40;7794.439941;53;5;42
53391;4.300098601;no;no;yes;Post-graduate;0-4;5972.299805;26;18;2
163107;3.184210687;no;no;no;High School;0-4;7733.810059;19;12;1
105747;7.522742353;yes;no;yes;High School;20-24;6697.959961;38;12;20
53971;3.996997069;no;no;yes;Elementary;>=40;3775.610107;56;6;44
171205;2.640640111;no;no;no;HS dropout;05-Sep;9554.900391;22;10;6
212003;3.268720199;no;no;yes;College;0-4;9202.139648;24;16;2
52551;10.01123614;yes;no;yes;Elementary;35-39;7931;51;8;37
30541;7.750248925;yes;no;yes;High School;15-19;6038.149902;36;12;18
146618;4.136752364;yes;no;yes;Some College;05-Sep;7554.680176;26;14;6
217087;6.327522906;no;no;yes;High School;20-24;1217.849976;40;12;22
203119;14.55298844;yes;no;no;Post-graduate;15-19;7815.450195;43;18;19
56471;7.93483152;no;no;yes;Some College;15-19;9153.349609;34;13;15
99374;6.236685466;yes;no;yes;Elementary;>=40;7288.859863;62;8;48
49408;3.611831891;no;no;yes;High School;20-24;5896.97998;40;12;22
244832;3.411654245;no;no;no;High School;0-4;9293.089844;19;12;1
248915;5.494954141;no;no;no;High School;0-4;1418.51001;19;12;1
47505;7.166831074;no;no;yes;High School;35-39;16461.75;54;12;36
7789;6.403730203;yes;no;yes;College;0-4;8872.339844;24;16;2
25948;6.903904104;no;no;yes;High School;20-24;8605.580078;42;12;24
196577;3.321134414;yes;no;yes;Some College;05-Sep;6879.689941;27;13;8
203956;5.904341531;yes;no;yes;High School;25-29;7182.680176;44;12;26
13157;2.595505684;no;no;no;High School;0-4;6581.22998;20;12;2
159748;12.10000115;no;no;yes;Some College;15-19;4028.560059;37;15;16
195822;4.75678425;yes;no;yes;High School;05-Sep;7008.47998;26;12;8
80650;10.86826259;yes;yes;no;Some College;Okt-14;1094.319946;30;14;10
233088;4.98170171;no;no;yes;HS dropout;05-Sep;6209.220215;23;10;7
104652;2.654415981;no;no;no;HS dropout;05-Sep;7865.779785;22;11;5
259301;3.73526676;no;no;yes;HS dropout;15-19;8468.419922;34;9;19
27525;8.099392081;yes;no;yes;High School;35-39;7254.200195;57;12;39
156006;8.71757947;no;no;yes;Some College;30-34;6318.830078;51;15;30
887;7.614757846;yes;no;yes;High School;30-34;2038.030029;51;12;33
28360;7.267267184;yes;no;yes;Elementary;>=40;9693.719727;60;6;48
131986;2.552343805;no;no;no;High School;0-4;10109.40039;20;12;2
92958;4.487617921;yes;no;yes;High School;15-19;7955.080078;36;12;18
145477;6.223404138;no;no;yes;High School;Okt-14;4959.299805;29;12;11
247303;3.612796052;yes;no;yes;College;Okt-14;1189.530029;32;16;10
214784;19.62375997;no;no;yes;College;Okt-14;8682.860352;36;16;14
63967;3.707865136;no;no;no;HS dropout;0-4;1887.420044;18;11;1
20474;3.915423421;no;no;yes;High School;05-Sep;7455.689941;26;12;8
124362;3.87293912;no;no;yes;High School;0-4;6767.529785;21;12;3
154578;6.974063393;no;no;yes;Some College;15-19;1456.130005;37;13;18
163710;24.38549097;no;no;yes;College;20-24;7935.450195;43;16;21
136555;9.726315105;no;no;no;High School;20-24;6705.359863;41;12;23
203455;4.850995473;no;yes;no;Post-graduate;05-Sep;16398.94922;32;18;8
41125;7.31854836;no;yes;yes;College;15-19;8044.5;40;16;18
22849;4.377889643;no;no;no;Some College;0-4;11549.73047;24;15;3
38854;5.450450475;no;no;yes;High School;35-39;5351.299805;57;12;39
84796;1.00013776;no;no;yes;High School;Okt-14;1003.26001;28;12;10
73717;9.269663101;no;no;yes;Some College;35-39;6579.890137;57;14;37
